,URL,цена квартиры,цена за кв.метр,адрес квартриы,источник
139,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913096032,6871020,114900,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
140,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913095781,5026720,141200,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
141,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913095435,7026500,117500,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
142,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913095882,6696640,123100,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
143,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913094852,6966370,116300,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
144,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913041300,6973230,124300,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
145,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2913041215,5033840,141400,"мкр. Белая дача, между ул. Кузьминской, Центральной аллеей, 1-м Покровским проездом и Кузьминским лесопарком, стр. 3, 4",Domofond.ru
146,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-1608146741,8500000,106250,Силикат 12А,Domofond.ru
147,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2763717167,8300000,127106,"Московская область, Котельники, 2-й Покровский проезд, 2",Domofond.ru
148,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2545597051,8050350,135300,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
149,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2545935719,8264360,138200,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
