,date,rooms_cnt,url,price,price_one_metre,space,floor,floors_of_house,adress,source
62,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2511363766,6240840,119100,52.4,3,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
63,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2511014084,7377450,107700,68.5,13,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
64,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2086011517,9242880,99600,92.8,2,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
65,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1974469651,8016240,105200,76.2,14,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
66,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2807128994,5389920,136800,39.4,25,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
67,2020-10-23,0,https://www.domofond.ru/kvartira-na-prodazhu-kotelniki-2735271519,3791700,191500,19.8,10,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
68,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2510381631,7117200,108000,65.9,2,25,"пр-д Яничкин, стр. 4",Domofond.ru
69,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2510647425,7636120,109400,69.8,6,15,"пр-д Яничкин, стр. 19.2",Domofond.ru
70,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2880357979,6453720,109200,59.1,11,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
71,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1866381778,7322400,113000,64.8,16,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
72,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1972785669,7296480,112600,64.8,8,25,"пр-д Яничкин, стр. 19.2",Domofond.ru
73,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-1866385348,6314200,120500,52.4,15,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
74,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256361,5271720,133800,39.4,9,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
75,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2724257077,6654660,118200,56.3,3,25,"пр-д Яничкин, стр. 19.1",Domofond.ru
76,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2735271428,7377860,105700,69.8,8,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
77,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2735271349,6465540,109400,59.1,4,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
78,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2724256466,4861640,135800,35.8,5,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
79,2020-10-23,2,https://www.domofond.ru/2-komnatnaya-kvartira-na-prodazhu-kotelniki-2659041437,6631020,112200,59.1,9,15,"пр-д Яничкин, стр. 19.1",Domofond.ru
80,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2880359675,5388940,127700,42.2,23,25,"пр-д Яничкин, стр. 4",Domofond.ru
81,2020-10-23,3,https://www.domofond.ru/3-komnatnaya-kvartira-na-prodazhu-kotelniki-2720097994,8900000,122928,72.4,10,33,"ул. Сосновая, д. 1, корп. 1",Domofond.ru
82,2020-10-23,1,https://www.domofond.ru/1-komnatnaya-kvartira-na-prodazhu-kotelniki-2864839581,6700000,186111,36.0,17,18,"Московская область, Котельники, жилой комплекс Парковый",Domofond.ru
